	method	tf	M	fid	args
358	DT	18.580306022564123	37	0.9999850996552149	(5, 3, 1223749, 0, 1.0)
359	DT	39.317827762509644	108	0.9999970620690759	(8, 4, 1223749, 10, 1.0)
360	DT	18.580306022564123	37	0.95	(5, 3, 1223749, 0, 1.0)
361	DT	20.08351234691571	30	0.9956223816276754	(4, 2, 1223749, 1, 1.0)
362	DT	20.272053826375494	50	0.9999997427771922	(7, 4, 1223749, 8, 1.0)
363	DT	27.669801480694208	51	0.9999997427771922	(5, 3, 1223749, 5, 1.0)
364	DT	18.580306022564123	37	0.9999999492828621	(5, 3, 1223749, 0, 1.0)
365	DT	20.08351234691571	30	0.9998298122001763	(4, 2, 1223749, 1, 1.0)
366	DT	44.824482184586365	67	0.9999994207222558	(4, 2, 1223749, 2, 1.0)
367	DT	74.45778192576036	204	0.9999999774795342	(8, 4, 1223749, 15, 1.0)
368	DT	20.71490841274122	41	0.9996167291477257	(5, 3, 1223749, 2, 1.0)
369	DT	25.072408441975732	50	0.999993383642715	(4, 2, 1223749, 0, 1.0)
370	DT	20.272053826375494	50	0.9999664437295102	(7, 4, 1223749, 8, 1.0)
371	DT	20.71490841274122	41	0.9999999492828621	(5, 3, 1223749, 2, 1.0)
372	DT	18.580306022564123	37	0.9999999774795342	(5, 3, 1223749, 0, 1.0)
373	DT	15.063243419319775	41	0.99999999	(7, 4, 1223749, 0, 1.0)
374	DT	70.09187833087464	192	0.9999997427771922	(8, 4, 1223749, 5, 1.0)
375	DT	30.256353376570324	75	0.9999244297158603	(7, 4, 1223749, 11, 1.0)
376	DT	25.072408441975732	50	1.0	(4, 2, 1223749, 0, 1.0)
377	DT	39.317827762509644	108	0.9999994207222558	(8, 4, 1223749, 10, 1.0)
378	DT	15.063243419319775	41	1.0	(7, 4, 1223749, 0, 1.0)
379	DT	18.580306022564123	37	0.9901413995231718	(5, 3, 1223749, 0, 1.0)
380	DT	18.134337405558778	40	0.9999994207222558	(6, 3, 1223749, 3, 1.0)
381	DT	44.824482184586365	67	0.9991368561885445	(4, 2, 1223749, 2, 1.0)
382	DT	21.672125071453813	51	0.9999997427771922	(6, 3, 1223749, 0, 1.0)
383	DT	39.317827762509644	108	0.9991368561885445	(8, 4, 1223749, 10, 1.0)
384	DT	20.272053826375494	50	1.0	(7, 4, 1223749, 8, 1.0)
385	DT	21.672125071453813	51	1.0	(6, 3, 1223749, 0, 1.0)
386	DT	70.09187833087464	192	0.9999244297158603	(8, 4, 1223749, 5, 1.0)
387	DT	40.061516146707994	90	0.9998298122001763	(6, 3, 1223749, 8, 1.0)
388	DT	30.256353376570324	75	0.9980561599327656	(7, 4, 1223749, 11, 1.0)
389	DT	15.063243419319775	41	0.9999664437295102	(7, 4, 1223749, 0, 1.0)
390	DT	18.580306022564123	37	0.9999664437295102	(5, 3, 1223749, 0, 1.0)
391	DT	70.09187833087464	192	0.9998298122001763	(8, 4, 1223749, 5, 1.0)
392	DT	30.256353376570324	75	0.95	(7, 4, 1223749, 11, 1.0)
393	DT	74.45778192576036	204	0.9999664437295102	(8, 4, 1223749, 15, 1.0)
394	DT	15.063243419319775	41	0.9998298122001763	(7, 4, 1223749, 0, 1.0)
